# Server version 0.08 running on Siegetank:8123
# Game ID: 40
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Feb 28 14:20:06 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 RandomHusPlayer
START Player-1 260498154
PIT 0 16
PIT 1 23
PIT 0 8
PIT 1 2
PIT 0 17
PIT 1 18
PIT 0 2
PIT 1 29
PIT 0 0
PIT 1 8
PIT 0 1
PIT 1 17
PIT 0 2
PIT 1 9
PIT 0 5
PIT 1 23
PIT 0 8
PIT 1 27
PIT 0 3
PIT 1 16
PIT 0 18
PIT 1 6
PIT 0 6
PIT 1 0
GAMEOVER WINNER 1
# Game ended: Sun Feb 28 14:20:08 EST 2016
