# Server version 0.08 running on Siegetank:8123
# Game ID: 78
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Feb 29 01:50:21 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Human
START Player-1 260498154
PIT 0 23
PIT 1 10
PIT 0 21
PIT 1 23
PIT 0 19
PIT 1 3
PIT 0 0
PIT 1 7
PIT 0 25
PIT 1 4
PIT 0 26
PIT 1 22
PIT 0 27
PIT 1 2
PIT 0 23
PIT 1 0
PIT 0 18
PIT 1 15
PIT 0 16
PIT 1 21
PIT 0 19
PIT 1 20
PIT 0 20
PIT 1 16
PIT 0 21
PIT 1 2
PIT 0 24
PIT 1 1
PIT 0 23
PIT 1 25
PIT 0 26
PIT 1 30
PIT 0 27
PIT 1 21
