# Server version 0.08 running on Siegetank:8123
# Game ID: 162
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Feb 29 20:10:33 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, 'RandomHusPlayer', running on Siegetank
START Player-0 Human
START Player-1 RandomHusPlayer
PIT 0 23
PIT 1 22
PIT 0 22
PIT 1 12
PIT 0 21
PIT 1 19
PIT 0 20
PIT 1 13
PIT 0 23
PIT 1 18
PIT 0 24
PIT 1 23
PIT 0 19
PIT 1 19
PIT 0 22
PIT 1 5
PIT 0 27
PIT 1 27
PIT 0 28
PIT 1 22
PIT 0 30
PIT 1 13
PIT 0 6
PIT 1 9
PIT 0 10
PIT 1 25
PIT 0 11
PIT 1 1
PIT 0 13
PIT 1 23
PIT 0 7
PIT 1 0
GAMEOVER WINNER 1
# Game ended: Mon Feb 29 20:11:34 EST 2016
