# Server version 0.08 running on Siegetank:8123
# Game ID: 179
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 01 00:04:27 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on Siegetank
# Player 2: Player-1, 'Human', running on Siegetank
START Player-0 RandomHusPlayer
START Player-1 Human
PIT 0 10
PIT 1 23
PIT 0 7
PIT 1 22
PIT 0 4
PIT 1 21
PIT 0 13
PIT 1 20
PIT 0 2
PIT 1 19
PIT 0 1
PIT 1 12
PIT 0 4
PIT 1 25
PIT 0 19
PIT 1 26
PIT 0 0
PIT 1 27
PIT 0 7
PIT 1 28
PIT 0 22
PIT 1 30
PIT 0 5
PIT 1 1
PIT 0 8
PIT 1 8
PIT 0 9
PIT 1 9
PIT 0 11
PIT 1 10
PIT 0 10
PIT 1 11
PIT 0 14
PIT 1 14
PIT 0 15
PIT 1 17
PIT 0 12
PIT 1 18
PIT 0 23
PIT 1 20
PIT 0 16
PIT 1 28
GAMEOVER WINNER 1
# Game ended: Tue Mar 01 00:04:48 EST 2016
