# Server version 0.08 running on Siegetank:8123
# Game ID: 195
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 01 15:35:43 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, 'RandomHusPlayer', running on Siegetank
START Player-0 Human
START Player-1 RandomHusPlayer
PIT 0 8
PIT 1 0
PIT 0 23
PIT 1 19
PIT 0 18
PIT 1 24
PIT 0 17
PIT 1 15
PIT 0 14
PIT 1 0
PIT 0 9
PIT 1 20
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 3
PIT 0 3
PIT 1 5
PIT 0 5
PIT 1 0
PIT 0 6
PIT 1 1
PIT 0 7
PIT 1 18
PIT 0 8
PIT 1 7
PIT 0 11
PIT 1 1
PIT 0 12
PIT 1 0
PIT 0 9
PIT 1 1
GAMEOVER WINNER 1
# Game ended: Tue Mar 01 15:35:58 EST 2016
