# Server version 0.08 running on Siegetank:8123
# Game ID: 215
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 01 16:41:01 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 RandomHusPlayer
START Player-1 260498154
PIT 0 10
PIT 1 23
PIT 0 0
PIT 1 5
PIT 0 16
PIT 1 18
PIT 0 13
PIT 1 17
PIT 0 17
PIT 1 19
PIT 0 25
PIT 1 21
PIT 0 20
PIT 1 22
PIT 0 1
PIT 1 0
PIT 0 30
PIT 1 1
PIT 0 3
PIT 1 15
PIT 0 14
PIT 1 6
PIT 0 4
PIT 1 23
PIT 0 8
PIT 1 0
PIT 0 5
PIT 1 7
PIT 0 31
PIT 1 1
PIT 0 0
PIT 1 2
PIT 0 7
PIT 1 3
PIT 0 1
PIT 1 5
PIT 0 3
PIT 1 10
PIT 0 6
PIT 1 0
PIT 0 9
PIT 1 18
PIT 0 13
PIT 1 21
PIT 0 16
PIT 1 30
PIT 0 7
PIT 1 0
PIT 0 15
PIT 1 1
PIT 0 18
PIT 1 11
GAMEOVER WINNER 1
# Game ended: Tue Mar 01 16:41:06 EST 2016
