# Server version 0.08 running on Siegetank:8123
# Game ID: 297
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 01 20:47:26 EST 2016
# Player 1: Player-0, 'Brute Force AI', running on Siegetank
# Player 2: Player-1, 'Human', running on Siegetank
START Player-0 Brute Force AI
START Player-1 Human
PIT 0 22
PIT 1 23
PIT 0 21
PIT 1 21
PIT 0 20
PIT 1 20
PIT 0 24
PIT 1 19
PIT 0 14
PIT 1 16
PIT 0 1
PIT 1 15
PIT 0 6
PIT 1 17
PIT 0 10
PIT 1 19
PIT 0 11
PIT 1 12
PIT 0 0
GAMEOVER WINNER 0
# Game ended: Tue Mar 01 20:47:34 EST 2016
