# Server version 0.08 running on Siegetank:8123
# Game ID: 489
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Mar 02 15:54:03 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, 'Human', running on Siegetank
START Player-0 Human
START Player-1 Human
PIT 0 23
PIT 1 23
PIT 0 20
PIT 1 19
PIT 0 21
PIT 1 21
PIT 0 19
PIT 1 16
PIT 0 22
PIT 1 24
PIT 0 17
PIT 1 29
PIT 0 13
PIT 1 26
PIT 0 24
PIT 1 18
PIT 0 25
PIT 1 20
PIT 0 14
PIT 1 29
PIT 0 30
PIT 1 21
PIT 0 27
PIT 1 23
PIT 0 4
PIT 1 19
PIT 0 28
PIT 1 25
