# Server version 0.08 running on Siegetank:8123
# Game ID: 564
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Mar 02 23:11:55 EST 2016
# Player 1: Player-0, 'Brute Force AI', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Brute Force AI
START Player-1 260498154
PIT 0 22
PIT 1 22
PIT 0 4
PIT 1 12
PIT 0 19
PIT 1 1
PIT 0 2
PIT 1 20
PIT 0 10
PIT 1 24
PIT 0 4
PIT 1 16
PIT 0 25
PIT 1 29
PIT 0 19
PIT 1 27
PIT 0 28
PIT 1 30
PIT 0 31
PIT 1 31
PIT 0 10
PIT 1 3
PIT 0 30
PIT 1 1
PIT 0 19
PIT 1 4
PIT 0 31
PIT 1 8
PIT 0 20
PIT 1 13
PIT 0 28
PIT 1 11
PIT 0 25
PIT 1 7
PIT 0 24
PIT 1 10
PIT 0 26
PIT 1 13
PIT 0 23
PIT 1 11
PIT 0 29
PIT 1 12
PIT 0 30
PIT 1 13
PIT 0 31
PIT 1 6
PIT 0 10
PIT 1 16
PIT 0 28
PIT 1 19
PIT 0 26
PIT 1 20
PIT 0 27
PIT 1 21
PIT 0 23
GAMEOVER WINNER 0
# Game ended: Wed Mar 02 23:12:19 EST 2016
