# Server version 0.08 running on Siegetank:8123
# Game ID: 743
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Mar 04 16:15:19 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, 'Human', running on Siegetank
START Player-0 Human
START Player-1 Human
PIT 0 22
PIT 1 22
PIT 0 21
PIT 1 23
PIT 0 20
PIT 1 21
PIT 0 23
PIT 1 20
PIT 0 22
PIT 1 22
PIT 0 19
PIT 1 24
PIT 0 18
PIT 1 27
PIT 0 17
PIT 1 25
PIT 0 22
PIT 1 18
PIT 0 24
GAMEOVER USER CANCEL UNDECIDED
# Game ended: Fri Mar 04 16:15:52 EST 2016
