# Server version 0.08 running on Siegetank:8123
# Game ID: 768
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Mar 04 17:28:04 EST 2016
# Player 1: Player-0, 'Brute Force AI', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Brute Force AI
START Player-1 260498154
PIT 0 22
PIT 1 0
PIT 0 21
PIT 1 1
PIT 0 24
PIT 1 3
PIT 0 19
PIT 1 5
PIT 0 23
PIT 1 8
PIT 0 27
PIT 1 11
PIT 0 30
PIT 1 12
PIT 0 31
GAMEOVER WINNER 0
# Game ended: Fri Mar 04 17:28:09 EST 2016
