# Server version 0.08 running on Siegetank:8123
# Game ID: 890
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 10 01:52:31 EST 2016
# Player 1: Player-0, 'Brute Force AI', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Brute Force AI
START Player-1 260498154
PIT 0 22
PIT 1 20
PIT 0 21
PIT 1 15
PIT 0 24
PIT 1 16
PIT 0 23
PIT 1 3
PIT 0 28
PIT 1 23
PIT 0 25
PIT 1 4
PIT 0 24
PIT 1 6
PIT 0 30
PIT 1 1
PIT 0 31
PIT 1 2
PIT 0 28
PIT 1 3
PIT 0 21
PIT 1 0
PIT 0 31
PIT 1 4
PIT 0 30
GAMEOVER WINNER 0
# Game ended: Thu Mar 10 01:52:38 EST 2016
